Xgeometry,Ygeometry,Zgeometry,Navn,Reduceret,Bassinvolu,Udlednings,Bygværkst,Godkendels,Ejer,Idriftsat,Nedlagt,Vandmængd,Antal over,COD (kg),BI-5 (kg),Total-N (k,Total-P (k
"720048.2482",6189498.716599999926984,nan,Afledning til Lyngby-Taarnbæks ledningsnet,0.732106699849033,"0",Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,"0","0","0","0","0"
"723089.9998",6190139.003700000233948,nan,Rå R2,1.390000000000000,"0",Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,"0","0","0","0","0","0"
"721667.9998",6189779.003700000233948,nan,Lu R23,,0.000000000000000,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,"0","0","0","0","0","0"
"719175.9998",6187597.003800000064075,nan,Ly R3F,,0.000000000000000,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),2021-01-01T00:00:00.0000000,Aktivt,"159","11","29","5","2","0"
"721671.9458",6189761.972999999299645,nan,OMLU103O,19.967886409523501,"0",Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,"0","0","0","0","0","0"
"719175.9998",6187597.003699999302626,nan,Ly R3R,3.010000000000000,"0",Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,"3801","190","23","8","1"
"719266.9998",6189292.003700000233948,nan,Lu R9,20.699999999999999,"0",Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,"21666","12","3900","650","260","43"
"719304.9998",6189177.003700000233948,nan,Ly R34,20.699999999999999,"0",Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,"3630","15","653","109","44","7"
"721652.7824",6189871.680700000375509,nan,UF01001,16.127674657688701,"0",Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,"17636","8","3174","528","211","35"
